# gates/baseline.tsv — the ratchet baseline for scripts/gate-ratchet.sh
# (deterministic-gates §6: "Existing violations are recorded in a committed
# baseline. The gate fails if the count GOES UP; it never requires me to fix
# the past.")
#
# Format: <gate_id><TAB><command><TAB><violations><TAB><suppressions><TAB><recorded_at><TAB><note>
#
# The command is run from the repo root and MUST support --count, printing
# "<violations>TAB<suppressions>" on stdout and exiting 0. A command that exits
# 2 fails the ratchet as a gate error — never as a pass.
#
# SUPPRESSIONS ARE VIOLATIONS. A declared standalone, a nolint pragma, a scope
# exclusion — each counts in the second number. That is the whole anti-bypass
# design: routing around a gate moves a number that is watched, so it can never
# be the quiet option. §6 again: "If suppression does not enter the ratchet, you
# will route around the gate instead of obeying it — and I want that to be
# impossible, not merely discouraged."
#
# TO LOWER A NUMBER: fix the violations, then edit the row. Downward is silent.
# TO RAISE A NUMBER: you must edit this file deliberately and say why in the
# note. That edit is the artifact — it shows up in review as a decision, not as
# an accident.
#
# EVERY gate in scripts/, gates/ and context/gates/ must have a row here. A gate
# with no row is a violation, not a skip — otherwise a new gate escapes the
# ratchet simply by never being registered.
#
# gates/ is named explicitly because it is where /ctx-gate writes every gate it
# builds (scripts/new-gate.sh). It was missing from the check until 2026-08-08,
# which meant the first gate the compiler generated for itself was exempt from
# the requirement this paragraph states. Pinned by the fixture pair
# tests/gates/ratchet/gates-arm-dirty -> tests/gates/ratchet/clean.
#
# ONE EXCEPTION, and it is structural: scripts/gate-ratchet.sh has no row. It is
# the only gate with no --count mode, because "count your own violations" is not
# defined for the script that reads this file — and a row naming it would make
# it invoke itself once per run, forever. It is fixtured like every other gate
# instead (two pairs in scripts/gate-fixtures.tsv), so its coverage does not
# depend on a number nobody could compute.
#
# gate_id	command	violations	suppressions	recorded_at	note
RAW-APPEND-ONLY	scripts/gate-raw-append-only.sh --worktree	0	0	2026-08-08	worktree mode: only what is changing now. The three historical violations are recorded in the gate header, not here — the past is not required to be fixed.
DOC-CLAIM-RECOMPUTE	scripts/gate-doc-claims.sh	0	0	2026-08-08
EVAL-NO-METADATA-IN-PROMPT	scripts/gate-eval-prompt-purity.sh	0	0	2026-08-08
GATE-REACHABLE	scripts/gate-reachable.sh	0	0	2026-08-08	suppressions = lines in scripts/gate-standalone.txt; currently none
ALIAS-RESOLVES	scripts/gate-command-aliases.sh	0	0	2026-08-08	28 command files, 19 of them aliases
EXEC-BIT-PRESERVED	scripts/gate-exec-bits.sh	0	0	2026-08-08	104 tracked executables
GATE-DISCRIMINATES	scripts/gate-fixtures.sh	0	0	2026-08-08	6 registered gates
RULE-INTEGRITY	scripts/ctx-lint-rules.sh	0	0	2026-08-08	no rule pages yet; the layer ships empty
CTX-ROOT-COMPAT	scripts/gate-context-root.sh	0	0	2026-08-08	three layouts + link soundness
CTX-ROOT-ADOPTION	scripts/gate-ctx-root.sh	80	0	2026-08-08	AGENTS.md:24 says new code uses ctx_root(); 41 files predate it. Ratchet, not migration order — AGENTS.md argues against a bulk rewrite of the oracles.
ADAPTER-CONTRACT	scripts/gate-adapter-contract.sh --repo tests/gates/adapter-contract/clean	0	0	2026-08-10	no corpus.json in this repo (it generates compilers, it is not one) — ratcheted against the fixture so the gate stays exercised
CITATION-FLOOR	scripts/gate-citation-floor.sh	0	0	2026-08-11	meta-wiki: 38 paginas, toda ancora resolve
DOC-PATH-RESOLVES	scripts/gate-doc-paths.sh	0	0	2026-08-24	clean at introduction: the 5 violations it found on arrival were fixed rather than baselined, so the number starts where it should stay
COMMAND-DOCUMENTED	scripts/gate-command-documented.sh	0	0	2026-08-24	clean at introduction: the 7 undocumented commands it found on arrival were documented rather than baselined
